,조사연월,가구구분코드,가구원수,취업인원수,노인가구여부,가구주_연령,가구주_학력코드,가구주_취업여부,가구주_10차산업분류코드,거처구분코드,입주형태코드,전국전체가구_1인이상소득10분위코드,소득구간코드,가계지출금액,가계지출_소비지출금액,가계지출_소비지출_식료품비주류음료구입비,가계지출_소비지출_주류담배구입비,가계지출_소비지출_의류신발구입비,가계지출_소비지출_주거수도광열비,가계지출_소비지출_가정용품가사서비스이용금액,가계지출_소비지출_보건제품구입비,가계지출_소비지출_교통비,가계지출_소비지출_통신비,가계지출_소비지출_오락문화비,가계지출_소비지출_교육비,가계지출_소비지출_음식숙박비,가계지출_소비지출_기타상품서비스이용금액,도시읍면부구분코드
9248,202400.0,2.0,1.0,1.0,0.0,55.0,4.0,1.0,K,6.0,1.0,8.0,7.0,4734552.0,3498789.0,152327.0,19323.0,368633.0,284268.0,145980.0,763267.0,112799.0,53250.0,918683.0,2167.0,376503.0,301589.0,1.0
9249,202400.0,2.0,1.0,1.0,0.0,55.0,5.0,1.0,G,1.0,6.0,6.0,5.0,2747476.0,1529380.0,66700.0,118500.0,69593.0,390027.0,256020.0,84667.0,43333.0,51913.0,2500.0,0.0,358700.0,87426.0,0.0
9250,202400.0,2.0,1.0,1.0,0.0,55.0,5.0,1.0,G,6.0,1.0,6.0,6.0,4417115.0,3364509.0,420287.0,0.0,304998.0,386078.0,340030.0,462370.0,193200.0,275821.0,193852.0,,193867.0,594006.0,1.0
9251,202400.0,2.0,1.0,1.0,0.0,55.0,6.0,1.0,I,1.0,6.0,3.0,3.0,1852405.0,1297405.0,137970.0,128217.0,55750.0,427892.0,9733.0,0.0,194600.0,116062.0,29827.0,0.0,112183.0,85171.0,0.0
9252,202400.0,2.0,1.0,1.0,0.0,55.0,6.0,1.0,P,2.0,1.0,8.0,8.0,5431361.0,5224544.0,292397.0,2500.0,938232.0,208455.0,324320.0,734801.0,168582.0,33000.0,1671910.0,0.0,130033.0,720315.0,1.0
9253,202400.0,2.0,1.0,1.0,0.0,55.0,6.0,1.0,R,6.0,6.0,3.0,3.0,1939197.0,1785997.0,200647.0,0.0,59650.0,616636.0,26800.0,50467.0,159167.0,26133.0,84817.0,0.0,514275.0,47407.0,1.0
9254,202400.0,2.0,1.0,1.0,0.0,56.0,2.0,1.0,F,1.0,6.0,5.0,5.0,1542089.0,1360864.0,98625.0,124950.0,55333.0,341402.0,4292.0,147007.0,41540.0,55573.0,45828.0,0.0,363072.0,83242.0,1.0
9255,202400.0,2.0,1.0,1.0,0.0,56.0,4.0,1.0,F,1.0,6.0,4.0,4.0,1793619.0,1736786.0,267529.0,41832.0,45048.0,435775.0,15425.0,42083.0,157549.0,68382.0,43486.0,0.0,557952.0,61725.0,1.0
9256,202400.0,2.0,1.0,1.0,0.0,56.0,4.0,1.0,F,1.0,6.0,4.0,4.0,1833375.0,1559980.0,76013.0,92900.0,12500.0,731378.0,19038.0,38400.0,223275.0,45348.0,10000.0,0.0,253450.0,57680.0,1.0
9257,202400.0,2.0,1.0,1.0,0.0,56.0,4.0,1.0,F,2.0,1.0,6.0,6.0,4790588.0,3958824.0,183805.0,13510.0,115378.0,142917.0,110897.0,241540.0,1598167.0,106098.0,583245.0,60000.0,635260.0,168007.0,1.0
